F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2288.88,2393.1801,2107.8504,2135.6811,2248.5645,2401.2432,2369.7711,1940.6061000000002,2259.7488000000003,2307.3471,2006.4114,2028.78,2252.9862,1820.9601000000002
2289.6603,2393.1801,2107.0701000000004,2133.6003,2247.5241,2401.5033,2367.6902999999998,1940.346,2261.5695,2307.087,2006.4114,2029.3002000000001,2255.5872000000004,1822.5207
2289.1401,2395.0008,2107.3302000000003,2133.6003,2248.5645,2402.0235000000002,2367.6902999999998,1939.8258,2261.8296,2307.6072000000004,2005.8912,2027.4795000000001,2255.3271,1823.5611000000001
2289.1401,2393.4402000000005,2108.8908,2136.4614,2248.8246,2402.5437,2369.2509,1939.5657,2260.5290999999997,2308.1274,2005.371,2028.5199000000002,2253.5064,1822.7808
2291.481,2391.6195,2108.3706,2137.2417,2247.2639999999997,2401.2432,2368.7307,1940.6061000000002,2260.7892,2308.6476000000002,2004.8508,2029.5603,2252.7261,1823.301
2292.0012,2394.7407,2105.5095,2138.8023000000003,2248.5645,2401.2432,2369.2509,1940.0859,2262.0897,2309.4279,2003.5503,2027.4795000000001,2252.7261,1822.7808
2291.7410999999997,2396.0412,2106.5499,2138.8023000000003,2247.5241,2400.2028,2368.2105,1940.0859,2262.3498000000004,2309.1677999999997,2006.1513,2027.7396,2253.2463000000002,1823.0409000000002
2291.2209000000003,2393.4402000000005,2107.3302000000003,2138.022,2247.2639999999997,2400.4629,2368.2105,1940.346,2261.3094,2308.6476000000002,2006.4114,2027.4795000000001,2252.4660000000003,1823.0409000000002
2290.7007,2392.92,2106.0297,2138.022,2248.3044000000004,2401.2432,2369.2509,1938.7854,2261.5695,2309.1677999999997,2005.1109000000001,2027.2194,2251.9458,1822.5207
2291.2209000000003,2393.7003,2106.0297,2135.6811,2247.5241,2400.9831000000004,2368.7307,1938.7854,2263.1301000000003,2309.1677999999997,2005.8912,2029.0401000000002,2253.2463000000002,1822.0005
2289.4002,2393.9604,2106.5499,2134.9008,2248.0443,2402.0235000000002,2369.5110000000004,1940.346,2262.3498000000004,2308.3875,2004.8508,2029.8204,2252.7261,1820.9601000000002
2287.8396000000002,2392.92,2107.5903,2134.9008,2249.0847000000003,2402.2835999999998,2369.2509,1940.6061000000002,2261.8296,2308.6476000000002,2005.371,2029.3002000000001,2254.0266,1822.2606
2290.4406000000004,2393.1801,2106.0297,2134.3806000000004,2248.8246,2403.0639,2369.2509,1939.8258,2262.3498000000004,2307.3471,2005.1109000000001,2027.7396,2254.8069000000005,1822.7808
2290.9608,2394.4806000000003,2106.0297,2135.1609000000003,2248.5645,2403.0639,2369.7711,1940.0859,2261.0493,2306.0466,2004.8508,2027.4795000000001,2252.7261,1822.0005
2289.4002,2393.1801,2108.3706,2135.4210000000003,2247.7842,2400.9831000000004,2368.7307,1940.346,2261.8296,2307.8673000000003,2006.6715000000002,2029.0401000000002,2254.2867,1823.5611000000001
2290.1805,2392.92,2107.3302000000003,2137.5018,2247.7842,2400.9831000000004,2370.0312,1939.3056,2263.3902000000003,2308.6476000000002,2005.6311,2028.78,2255.067,1823.0409000000002
2292.0012,2394.4806000000003,2107.3302000000003,2138.022,2248.3044000000004,2401.5033,2369.2509,1938.7854,2262.3498000000004,2308.1274,2005.6311,2027.9997,2254.0266,1822.0005
2292.0012,2394.2205000000004,2108.3706,2137.5018,2247.7842,2400.9831000000004,2367.6902999999998,1939.5657,2261.0493,2308.3875,2006.6715000000002,2027.2194,2254.2867,1822.7808
2290.7007,2393.4402000000005,2108.3706,2138.2821,2246.7438,2400.723,2368.9908,1939.5657,2261.3094,2307.6072000000004,2006.4114,2027.4795000000001,2254.0266,1822.2606
2289.9204,2393.4402000000005,2108.3706,2136.7214999999997,2247.7842,2400.723,2367.6902999999998,1940.346,2262.3498000000004,2306.8269000000005,2007.1917,2028.2598,2255.067,1822.5207
2288.88,2393.1801,2105.7696,2135.4210000000003,2248.8246,2401.5033,2367.4302000000002,1941.6465,2261.8296,2308.3875,2005.6311,2028.5199000000002,2255.067,1822.7808
2289.4002,2392.6599,2106.81,2134.9008,2247.0039,2400.9831000000004,2367.9504,1940.6061000000002,2261.0493,2309.688,2005.371,2029.3002000000001,2254.2867,1822.5207
2290.4406000000004,2394.7407,2108.3706,2133.8604,2247.7842,2401.5033,2368.4706,1940.0859,2262.0897,2308.1274,2007.1917,2028.78,2254.0266,1822.5207
2289.4002,2397.0816,2106.5499,2135.1609000000003,2249.8650000000002,2403.324,2369.2509,1940.8662,2262.87,2306.3067,2006.4114,2027.2194,2254.2867,1821.2202
